itemLabel,occupationLabel
Nigidius Figulus,astrologue
Nigidius Figulus,philosophe
Nigidius Figulus,homme politique de la Rome antique
Crassus,homme politique de la Rome antique
Crassus,militaire
Marcus Cocceius Nerva,militaire
Marcus Cocceius Nerva,personnalité politique
Marc Antoine l'Orateur,prêtre romain
Marc Antoine l'Orateur,homme politique de la Rome antique
Marc Antoine l'Orateur,militaire
Jotapianus,militaire
Jotapianus,personnalité politique
Caius Marius,prêtre romain
Caius Marius,homme politique de la Rome antique
Caius Marius,militaire
Émilien,personnalité politique
Marcus Claudius Tacite,personnalité politique
Diophante d'Alexandrie,écrivain
Diophante d'Alexandrie,mathématicien
Servius Cornelius Dolabella Metilianus Pompeius Marcellus,militaire
Servius Cornelius Dolabella Metilianus Pompeius Marcellus,personnalité politique
Catherine d'Alexandrie,missionnaire
Caius Claudius Centho,militaire
Caton l'Ancien,écrivain
Caton l'Ancien,poète
Caton l'Ancien,économiste
Caton l'Ancien,homme politique de la Rome antique
Caton l'Ancien,militaire
Caton l'Ancien,historien romain de l'antiquité
Marcus Porcius Cato,homme politique de la Rome antique
Marcus Porcius Cato,militaire
Romanus,personnalité politique
Claudia Marcella Major,
Polemius Silvius,écrivain
Polemius Silvius,fonctionnaire
Maxence,personnalité politique
Caius Flavius Fimbria,homme politique de la Rome antique
Caius Flavius Fimbria,militaire
Sextus Turpilius,poète
Publius Septimius Geta,personnalité politique
Épictète,philosophe
Sébastien,soldat
Nonius Marcellus,écrivain
Nonius Marcellus,lexicographe
Licinius,personnalité politique
Dion Cassius,écrivain
Dion Cassius,militaire
Dion Cassius,personnalité politique
Dion Cassius,historien
Aetius,militaire
Aetius,personnalité politique
Titus Quinctius Capitolinus Barbatus,homme politique de la Rome antique
Titus Quinctius Capitolinus Barbatus,militaire
Constant Ier,personnalité politique
Avianus,écrivain
Avianus,poète
Avianus,fabuliste
Quintillus,personnalité politique
Julia Caesaris filia,aristocrate
Scipion Émilien,homme politique de la Rome antique
Scipion Émilien,militaire
Végèce,écrivain
Végèce,médecin
Végèce,militaire
Végèce,poète
Végèce,historien
Quinte-Curce,écrivain
Quinte-Curce,personnalité politique
Quinte-Curce,historien
Plotius Tucca,écrivain
Plotius Tucca,poète
Horace,écrivain
Horace,poète
Horace,philosophe
Salluste,écrivain
Salluste,poète
Salluste,homme politique de la Rome antique
Salluste,militaire
Salluste,historien romain de l'antiquité
Ovide,poète
Augustin d'Hippone,écrivain
Augustin d'Hippone,poète
Augustin d'Hippone,historien
Augustin d'Hippone,prédicateur
Augustin d'Hippone,presbytre
Augustin d'Hippone,théologien
Augustin d'Hippone,philosophe
Augustin d'Hippone,théoricien de la musique
Augustin d'Hippone,autobiographe
Constantin Ier,militaire
Constantin Ier,personnalité politique
Constantin Ier,souverain
Claude Galien,médecin écrivain
Claude Galien,chirurgien
Claude Galien,biologiste
Claude Galien,neurobiologiste
Aemilius Macer,écrivain
Aemilius Macer,poète
Caius Maecenas Melissus,poète
Caius Maecenas Melissus,bibliothécaire
Quinctilius Varus,critique littéraire
Domitius Marsus,écrivain
Domitius Marsus,poète
Valgius Rufus,écrivain
Valgius Rufus,poète
Valgius Rufus,personnalité politique
Lucius Varius Rufus,écrivain
Lucius Varius Rufus,poète
Lucius Varius Rufus,dramaturge
Aristius Fuscus,poète
Caius Cornelius Gallus,écrivain
Caius Cornelius Gallus,militaire
Caius Cornelius Gallus,poète
Caius Cornelius Gallus,personnalité politique
Caius Cornelius Gallus,orateur
Caius Cornelius Gallus,élégiste
Caius Cornelius Gallus,épigrammatiste
Properce,écrivain
Properce,poète
Properce,élégiste
Mécène,poète
Mécène,mécène
Mécène,homme politique de la Rome antique
Paul de Tarse,écrivain
Paul de Tarse,rabbin
Paul de Tarse,missionnaire
Paul de Tarse,théologien
Paul de Tarse,religieux
Suétone,écrivain
Suétone,poète
Suétone,secrétaire
Suétone,historien
Suétone,biographe
Suétone,antiquaire
Hypatie,astronome
Hypatie,écrivain
Hypatie,mathématicien
Hypatie,inventeur
Hypatie,philosophe
Aèce d'Antioche,prêtre
Ponce Pilate,personnalité politique
Ponce Pilate,haut fonctionnaire
Laurent de Rome,diacre catholique
Flavius Victor,personnalité politique
Junius Rusticus,enseignant
Junius Rusticus,militaire
Junius Rusticus,personnalité politique
Junius Rusticus,philosophe
Remmius Palæmon,écrivain
Remmius Palæmon,grammaticus
Remmius Palæmon,philologue
Marcus Ummidius Quadratus,militaire
Marcus Ummidius Quadratus,personnalité politique
Arrien,écrivain
Arrien,militaire
Arrien,personnalité politique
Arrien,historien
Arrien,philosophe
Spurius Larcius Rufus Flavus,homme politique de la Rome antique
Spurius Larcius Rufus Flavus,militaire
Spurius Larcius Rufus Flavus,ancient Roman diplomat
Justin,écrivain
Justin,historien
Magnus Maximus,personnalité politique
Tiberius Gracchus,prêtre romain
Tiberius Gracchus,homme politique de la Rome antique
Tiberius Gracchus,militaire
Naevius,écrivain
Naevius,poète
Naevius,dramaturge
Tarquin l'Ancien,homme politique de la Rome antique
Magnence,personnalité politique
Varus,homme politique de la Rome antique
Varus,militaire
Archias,poète
Archias,épigrammatiste
Caius Julius Zoilos,sculpteur
Calepius,personnalité politique
Jacques de Nisibe,prêtre
Lucius Caecilius Metellus Diadematus,homme politique de la Rome antique
Lucius Caecilius Metellus Diadematus,militaire
Hygin le Gromatique,arpenteur
Hydace de Chaves,évêque
Hydace de Chaves,écrivain
Hydace de Chaves,historien
Hydace de Chaves,presbytre
Novatien,écrivain
Novatien,prêtre catholique
Novatien,presbytre
Novatien,théologien
Lucius Junius Brutus,homme politique de la Rome antique
Lucius Junius Brutus,militaire
Flavius Caper,écrivain
Flavius Caper,grammaticus
Flavius Caper,linguiste
Flavius Caper,grammairien
Julia Domna,philosophe
Agrippine l'Aînée,personnalité politique
Lucrèce,
Octavie la Jeune,
Antonia la Jeune,aristocrate
Messaline,personnalité politique
Poppée,souverain
Fausta,
Julia Maesa,personnalité politique
Claudia Octavia,empereur
Atia Balba Caesonia,
Vipsania Agrippina,
Théodora,dirigeant
Servilia Caepionis,aristocrate
Honoria,dirigeant
Licinia Eudoxia,personnalité politique
Julia Soaemias,personnalité politique
Sabine,
Aurelia Cotta,aristocrate
Fulvie,
Scribonia,
Bruttia Crispina,consort
Antonia l'Aînée,aristocrate
Cornelia Africana,écrivain
Galeria Valeria,dirigeant
Ausone,écrivain
Ausone,militaire
Ausone,poète
Ausone,personnalité politique
Livilla,
Faustine l'Ancienne,garde malade
Pompeia Sulla,
Julia,écrivain
Julia Mamaea,personnalité politique
Cornelia Cinna,
Julia Drusilla,personnalité politique
Aelia Flacilla,
Calpurnia Pisonis,écrivain
Plautia Urgulanilla,
Julia Vipsania,
Herennia Etruscilla,impératrice romaine
Sextus Empiricus,médecin
Sextus Empiricus,médecin écrivain
Sextus Empiricus,philosophe
Faustine la Jeune,personnalité politique
Aelia Galla,souverain
Marie l'Égyptienne,ermite
Marie l'Égyptienne,prostitué
Clodia Pulchra,
Ulpia Marciana,dirigeant
Julia Livilla,
Orbiane,empereur
Christine de Tyr,
Galla Placidia,personnalité politique
Clodius Albinus,personnalité politique
Julie de Corse,
Flavia Julia Constantia,
Plautille,
Ælia Pætina,aristocrate
Domitia Longina,dirigeant
Salonine,personnalité politique
Julia Titi,monarque
Marcus Furius Bibaculus,poète
Aulus Egrilius Plarianus,
Aulus Gabinius Secundus,personnalité politique
Lucius Marcius Philippus,homme politique de la Rome antique
Lucius Marcius Philippus,militaire
Seleucus,personnalité politique
Seleucus,historien
Celsus,historien
Bacurius the Iberian,philosophe
Bacurius the Iberian,soldat
Aulus Caecina Tacitus,
Lucius Valerius Messalla Apollinaris,personnalité politique
Justine,régent
Gratien,monarque
Claudia Antonia,
Porcie,philosophe
Marcus,monarque
Taurinus,
Quintus Pedius,homme politique de la Rome antique
Quintus Pedius,militaire
Drusilla,aristocrate
Julia,
Julia Paula,
Lollia Paulina,personnalité politique
Tullia Ciceronis,
Claudia Acte,maîtresse
Sulpicia,écrivain
Sulpicia,poète
Sulpicia,élégiste
Serena,
Gellius Maximus,personnalité politique
Verus,personnalité politique
