item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q167902,Castulus,,,,,masculin,0300-01-01T00:00:00Z,,0286-01-01T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q976126,Caius Norbanus Flaccus,Caius,Norbanus,Flaccus,Norbani,masculin,-0100-01-01T00:00:00Z,Rome antique,-0060-01-01T00:00:00Z,t2258935671,http://www.wikidata.org/entity/Q705372,t2258935667
http://www.wikidata.org/entity/Q209102,Lactance,Lucius,Caecilius,,Caecilii,masculin,0250-01-01T00:00:00Z,Afrique,0325-01-01T00:00:00Z,Gaule,,
http://www.wikidata.org/entity/Q209793,Constantin III,,,,,masculin,0400-01-01T00:00:00Z,,0411-08-01T00:00:00Z,Ravenne,,
http://www.wikidata.org/entity/Q209793,Constantin III,,,,,masculin,0400-01-01T00:00:00Z,,0411-09-01T00:00:00Z,Ravenne,,
http://www.wikidata.org/entity/Q44794,Alexandre d'Alexandrie,,,,,masculin,0250-01-01T00:00:00Z,Égypte antique,0326-04-18T00:00:00Z,Alexandrie,,
http://www.wikidata.org/entity/Q44794,Alexandre d'Alexandrie,,,,,masculin,0250-01-01T00:00:00Z,Égypte antique,0328-01-01T00:00:00Z,Alexandrie,,
http://www.wikidata.org/entity/Q45522,Minervina,,,,,féminin,0300-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q45530,Eutropia,,,,,féminin,t2219404944,,t2219404941,,,
http://www.wikidata.org/entity/Q45535,Valeria Maximilla,,Valeria,,Valerii,féminin,0280-01-01T00:00:00Z,,0312-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q172168,
http://www.wikidata.org/entity/Q46418,Constance II,,,,,masculin,0317-08-07T00:00:00Z,Sirmium,0361-11-03T00:00:00Z,Cilicie,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063
http://www.wikidata.org/entity/Q46418,Constance II,,,,,masculin,0317-08-13T00:00:00Z,Sirmium,0361-11-03T00:00:00Z,Cilicie,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063
http://www.wikidata.org/entity/Q46696,Théodose Ier,,,,,masculin,0347-01-12T00:00:00Z,Coca,0395-01-18T00:00:00Z,Milan,http://www.wikidata.org/entity/Q537126,http://www.wikidata.org/entity/Q56305768
http://www.wikidata.org/entity/Q46696,Théodose Ier,,,,,masculin,0347-01-12T00:00:00Z,Ciudad romana de Itálica,0395-01-18T00:00:00Z,Milan,http://www.wikidata.org/entity/Q537126,http://www.wikidata.org/entity/Q56305768
http://www.wikidata.org/entity/Q46720,Valentinien Ier,,,,,masculin,0321-07-04T00:00:00Z,Pannonie seconde,0375-11-18T00:00:00Z,Brigetio,http://www.wikidata.org/entity/Q1254885,
http://www.wikidata.org/entity/Q207113,Hippolyte de Rome,,,,,masculin,0170-01-01T00:00:00Z,Rome,0235-01-01T00:00:00Z,Sardaigne,,
http://www.wikidata.org/entity/Q207121,Libius Severus,,Livius,Severus,,masculin,0420-01-01T00:00:00Z,Lucania,0465-08-15T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q207370,Caius Cassius Longinus,Caius,Cassius,,Cassii,masculin,-0086-01-01T00:00:00Z,Rome,-0041-01-01T00:00:00Z,Philippes,http://www.wikidata.org/entity/Q459857,t2270029598
http://www.wikidata.org/entity/Q207499,Syagrius,,Afranius,,Afranii,masculin,0430-01-01T00:00:00Z,,0487-01-01T00:00:00Z,Soissons,http://www.wikidata.org/entity/Q336937,
http://www.wikidata.org/entity/Q43107,Dioclétien,Caius,Valerius,,,masculin,0244-12-22T00:00:00Z,Salone,0311-12-03T00:00:00Z,Split,,
http://www.wikidata.org/entity/Q43689,Ambroise de Milan,,,,,masculin,0339-01-01T00:00:00Z,Trèves,0397-04-05T00:00:00Z,Milan,,
http://www.wikidata.org/entity/Q43689,Ambroise de Milan,,,,,masculin,0339-01-01T00:00:00Z,Trèves,0397-04-06T00:00:00Z,Milan,,
http://www.wikidata.org/entity/Q43920,Macaire de Scété,,,,,masculin,0300-01-01T00:00:00Z,Haute-Égypte,0391-01-01T00:00:00Z,Ouadi Natroun,,
http://www.wikidata.org/entity/Q43920,Macaire de Scété,,,,,masculin,0301-01-01T00:00:00Z,Haute-Égypte,0391-01-01T00:00:00Z,Ouadi Natroun,,
http://www.wikidata.org/entity/Q43945,Jude,,,,,masculin,0015-01-01T00:00:00Z,Galilée,0062-01-01T00:00:00Z,Empire Perse,,
http://www.wikidata.org/entity/Q43954,Léon Ier,,,,,masculin,0390-01-01T00:00:00Z,Toscane,0461-11-11T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q43954,Léon Ier,,,,,masculin,0390-01-01T00:00:00Z,Toscane,0461-11-12T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0329-01-01T00:00:00Z,Arianzos,0389-01-26T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0330-01-01T00:00:00Z,Arianzos,0389-01-26T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0329-01-01T00:00:00Z,Nazianze,0389-01-26T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0330-01-01T00:00:00Z,Nazianze,0389-01-26T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0329-01-01T00:00:00Z,Arianzos,0390-01-01T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0330-01-01T00:00:00Z,Arianzos,0390-01-01T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0329-01-01T00:00:00Z,Nazianze,0390-01-01T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44011,Grégoire de Nazianze,,,,,masculin,0330-01-01T00:00:00Z,Nazianze,0390-01-01T00:00:00Z,Arianzos,http://www.wikidata.org/entity/Q935447,http://www.wikidata.org/entity/Q925470
http://www.wikidata.org/entity/Q44024,Athanase d'Alexandrie,,,,,masculin,0296-01-01T00:00:00Z,Alexandrie,0373-05-03T00:00:00Z,Alexandrie,,
