item,occupationLabel
http://www.wikidata.org/entity/Q1419,personnalité politique
http://www.wikidata.org/entity/Q1421,militaire
http://www.wikidata.org/entity/Q1421,personnalité politique
http://www.wikidata.org/entity/Q1424,personnalité politique
http://www.wikidata.org/entity/Q1425,personnalité politique
http://www.wikidata.org/entity/Q1425,officier
http://www.wikidata.org/entity/Q1425,homme d'État
http://www.wikidata.org/entity/Q1427,militaire
http://www.wikidata.org/entity/Q1427,poète
http://www.wikidata.org/entity/Q1427,personnalité politique
http://www.wikidata.org/entity/Q1427,souverain
http://www.wikidata.org/entity/Q1429,personnalité politique
http://www.wikidata.org/entity/Q1430,écrivain
http://www.wikidata.org/entity/Q1430,personnalité politique
http://www.wikidata.org/entity/Q1430,philosophe
http://www.wikidata.org/entity/Q1433,personnalité politique
http://www.wikidata.org/entity/Q1434,dirigeant
http://www.wikidata.org/entity/Q1436,personnalité politique
http://www.wikidata.org/entity/Q1436,soldat
http://www.wikidata.org/entity/Q1440,militaire
http://www.wikidata.org/entity/Q1440,personnalité politique
http://www.wikidata.org/entity/Q1442,militaire
http://www.wikidata.org/entity/Q1442,personnalité politique
http://www.wikidata.org/entity/Q1446,personnalité politique
http://www.wikidata.org/entity/Q1541,écrivain
http://www.wikidata.org/entity/Q1541,avocat
http://www.wikidata.org/entity/Q1541,poète
http://www.wikidata.org/entity/Q1541,personnalité politique
http://www.wikidata.org/entity/Q1541,juriste
http://www.wikidata.org/entity/Q1541,prêtre romain
http://www.wikidata.org/entity/Q1541,philosophe
http://www.wikidata.org/entity/Q1541,orateur
http://www.wikidata.org/entity/Q1541,théoricien politique
http://www.wikidata.org/entity/Q1541,homme politique de la Rome antique
http://www.wikidata.org/entity/Q1541,militaire
http://www.wikidata.org/entity/Q1752,avocat
http://www.wikidata.org/entity/Q1752,personnalité politique
http://www.wikidata.org/entity/Q1762,personnalité politique
http://www.wikidata.org/entity/Q1769,personnalité politique
http://www.wikidata.org/entity/Q1777,personnalité politique
http://www.wikidata.org/entity/Q1782,militaire
http://www.wikidata.org/entity/Q1797,personnalité politique
http://www.wikidata.org/entity/Q1803,militaire
http://www.wikidata.org/entity/Q1803,personnalité politique
http://www.wikidata.org/entity/Q1805,personnalité politique
http://www.wikidata.org/entity/Q1812,personnalité politique
http://www.wikidata.org/entity/Q1817,personnalité politique
http://www.wikidata.org/entity/Q1830,personnalité politique
http://www.wikidata.org/entity/Q2039,écrivain
http://www.wikidata.org/entity/Q2039,poète
http://www.wikidata.org/entity/Q2039,historien
http://www.wikidata.org/entity/Q2054,écrivain
http://www.wikidata.org/entity/Q2054,poète
http://www.wikidata.org/entity/Q2054,personnalité politique
http://www.wikidata.org/entity/Q2054,dramaturge
http://www.wikidata.org/entity/Q2054,homme d'État
http://www.wikidata.org/entity/Q2054,aphoriste
http://www.wikidata.org/entity/Q2054,philosophe
http://www.wikidata.org/entity/Q2098,écrivain
http://www.wikidata.org/entity/Q2098,poète
http://www.wikidata.org/entity/Q2161,écrivain
http://www.wikidata.org/entity/Q2161,militaire
http://www.wikidata.org/entity/Q2161,poète
http://www.wikidata.org/entity/Q2161,personnalité politique
http://www.wikidata.org/entity/Q2161,juriste
http://www.wikidata.org/entity/Q2161,historien
http://www.wikidata.org/entity/Q2161,biographe
http://www.wikidata.org/entity/Q2161,philosophe
http://www.wikidata.org/entity/Q2161,annaliste
http://www.wikidata.org/entity/Q2186,homme politique de la Rome antique
http://www.wikidata.org/entity/Q2186,militaire
http://www.wikidata.org/entity/Q2253,homme politique de la Rome antique
http://www.wikidata.org/entity/Q2253,militaire
http://www.wikidata.org/entity/Q168741,prêtre catholique
http://www.wikidata.org/entity/Q168741,clerc
http://www.wikidata.org/entity/Q170026,monarque
http://www.wikidata.org/entity/Q170026,personnalité politique
http://www.wikidata.org/entity/Q170164,personnalité politique
