item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q3655824,Lucius Caesonius Ovinius Rufinius Manlius Bassus,Lucius,Ovinius,Bassus,Caesonii,masculin,0220-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1873549,
http://www.wikidata.org/entity/Q3655908,Severinus iunior,,,,,masculin,0450-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q3655916,Paulinus,,Flavius,,Flavii,masculin,0498-01-01T00:00:00Z,,0511-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q3656011,Dioscorus,,Flavius,,Flavii,masculin,0400-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q3723654,Helpidius,,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q3734999,Eusebius,,Flavius,,Flavii,masculin,0401-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q3746492,Flavius Leontius,,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q3746511,Flavius Petrus,,Flavius,,Flavii,masculin,0450-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q3754798,Furius Maecius Gracchus,t2276435878,Furius,Gracchus,Furii,masculin,,,,,,
http://www.wikidata.org/entity/Q3754798,Furius Maecius Gracchus,t2276435878,Maecius,Gracchus,Furii,masculin,,,,,,
http://www.wikidata.org/entity/Q3754798,Furius Maecius Gracchus,t2276435878,Furius,Gracchus,Maecii,masculin,,,,,,
http://www.wikidata.org/entity/Q3754798,Furius Maecius Gracchus,t2276435878,Maecius,Gracchus,Maecii,masculin,,,,,,
http://www.wikidata.org/entity/Q3774061,Gracchus,t2276442413,t2276442414,Gracchus,t2276442418,masculin,,,0300-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q3854359,Memmius Vitrasius Orfitus,,Memmius,,Memmii,masculin,,,0369-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q3905207,Pinianus,t2276680008,t2276680012,Pinianus,t2276680007,masculin,,,,,,
http://www.wikidata.org/entity/Q3922924,Flavius Promotus,,Flavius,,Flavii,masculin,0350-01-01T00:00:00Z,,0392-09-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q3927909,Quintilius Laetus,t2254323955,Quinctilius,Laetus,Quinctilii,masculin,,,,,,
http://www.wikidata.org/entity/Q3981690,Tatianus,,,,,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4007976,Flavius Valila Theodosius,,Flavius,,Flavii,masculin,,,0401-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4011032,Viateur de Lyon,,,,,masculin,0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q456,0390-01-01T00:00:00Z,http://www.wikidata.org/entity/Q79,,
http://www.wikidata.org/entity/Q4147627,Gracchus,t2277145629,t2277145627,Gracchus,t2277145621,masculin,,,,,,
http://www.wikidata.org/entity/Q4534357,Julius Cassius,t2244178531,Julius,,Julii,masculin,,,,,,
http://www.wikidata.org/entity/Q4534357,Julius Cassius,t2244178531,Cassius,,Julii,masculin,,,,,,
http://www.wikidata.org/entity/Q4534357,Julius Cassius,t2244178531,Julius,,Cassii,masculin,,,,,,
http://www.wikidata.org/entity/Q4534357,Julius Cassius,t2244178531,Cassius,,Cassii,masculin,,,,,,
http://www.wikidata.org/entity/Q4663560,Abassad,,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q4685468,Adrian of Batanea,,,,,masculin,0250-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34615,0309-01-01T00:00:00Z,http://www.wikidata.org/entity/Q319242,,
http://www.wikidata.org/entity/Q4764503,Anicius Probus,t869677923,Anicius,Probus,Anicii,masculin,0350-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q1372249,
http://www.wikidata.org/entity/Q5518809,Galla of Rome,,,,,féminin,,,0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,
http://www.wikidata.org/entity/Q7089017,Olympias,,,,,féminin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q7428319,Savinian and Potentian,,,,,,,,0390-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7911423,Valerius Adelphius Bassus,t2280550774,Valerius,Bassus,Valerii,masculin,0360-01-01T00:00:00Z,,0383-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3655706,
http://www.wikidata.org/entity/Q7911423,Valerius Adelphius Bassus,t2280550774,Valerius,Adelphius,Valerii,masculin,0360-01-01T00:00:00Z,,0383-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3655706,
http://www.wikidata.org/entity/Q11085604,Aquila et Priscille,,,,,,,,0101-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q11922185,Flavianus,t611254962,t611255227,Flavianus,t611254972,masculin,,,,,,
http://www.wikidata.org/entity/Q12271293,Aquilia Blaesilla,,Aquillia,,Aquillii,féminin,,,,,,
http://www.wikidata.org/entity/Q12272063,Anicia Proba,,Anicia,Probus,Anicii,féminin,,,,,http://www.wikidata.org/entity/Q1542092,http://www.wikidata.org/entity/Q1154373
http://www.wikidata.org/entity/Q12275218,Vibia Galla,,Vibia,Galla,Vibii,féminin,,,,,http://www.wikidata.org/entity/Q171023,http://www.wikidata.org/entity/Q383304
http://www.wikidata.org/entity/Q12276089,Galla,,,,,féminin,,,,,http://www.wikidata.org/entity/Q355720,http://www.wikidata.org/entity/Q12292735
http://www.wikidata.org/entity/Q12283734,Cornelia Marullina,,Cornelia,,Cornelii,féminin,,,,,,
http://www.wikidata.org/entity/Q12291762,Pupiena Sextia Paulina Cethegilla,,Sextia,Paulina,Pupieni,féminin,,,,,http://www.wikidata.org/entity/Q1233605,http://www.wikidata.org/entity/Q12283734
http://www.wikidata.org/entity/Q12291762,Pupiena Sextia Paulina Cethegilla,,Pupiena,Paulina,Pupieni,féminin,,,,,http://www.wikidata.org/entity/Q1233605,http://www.wikidata.org/entity/Q12283734
http://www.wikidata.org/entity/Q12291762,Pupiena Sextia Paulina Cethegilla,,Sextia,Cethegilla,Pupieni,féminin,,,,,http://www.wikidata.org/entity/Q1233605,http://www.wikidata.org/entity/Q12283734
http://www.wikidata.org/entity/Q12291762,Pupiena Sextia Paulina Cethegilla,,Pupiena,Cethegilla,Pupieni,féminin,,,,,http://www.wikidata.org/entity/Q1233605,http://www.wikidata.org/entity/Q12283734
http://www.wikidata.org/entity/Q12293587,Septimia Octavilla,,Septimia,,Septimii,féminin,,,,,http://www.wikidata.org/entity/Q1236655,http://www.wikidata.org/entity/Q12297788
http://www.wikidata.org/entity/Q16556465,Fonteius,,,,,masculin,0201-01-01T00:00:00Z,,0400-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q16679104,Tarrutenius Maximilianus,,,,,masculin,0350-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q24021132,
http://www.wikidata.org/entity/Q16854011,Probus,t344220392,t344220421,Probus,t344220425,masculin,0420-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q641216,
http://www.wikidata.org/entity/Q17979325,Abundius and Abundantius,,,,,,,,,,,
http://www.wikidata.org/entity/Q18816895,Proculus,Proculus,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q20101888,Sulpicius Lupercus Servasius Junior,,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q21234348,Junius Valerius Bellicius,,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Claudius,Quintillus,Furii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Furius,Quintillus,Furii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Togius,Quintillus,Furii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Claudius,Quintillus,Claudii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Furius,Quintillus,Claudii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Togius,Quintillus,Claudii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Claudius,Quintillus,Togii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Furius,Quintillus,Togii,masculin,,,,,,
http://www.wikidata.org/entity/Q21235391,Furius Claudius Togius Quintillus,t2254442777,Togius,Quintillus,Togii,masculin,,,,,,
http://www.wikidata.org/entity/Q24934872,Flavius Plintha,,Flavius,,Flavii,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q24935234,Rufius Aggerius Festus,t1457392867,Rufius,Festus,Rufii,masculin,0450-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q3942350,
http://www.wikidata.org/entity/Q24951270,Postumius Rufius Festus Avienus,t361491183,Postumius,Festus,Postumii,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q24951270,Postumius Rufius Festus Avienus,t361491183,Rufius,Festus,Postumii,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q24951270,Postumius Rufius Festus Avienus,t361491183,Postumius,Festus,Rufii,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q24951270,Postumius Rufius Festus Avienus,t361491183,Rufius,Festus,Rufii,masculin,0350-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q25345215,Palmatius,,,,,masculin,,,0287-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3138,,
http://www.wikidata.org/entity/Q25422962,Pomponia Urbica,,,,,féminin,,,,,,
http://www.wikidata.org/entity/Q637561,Flavius Optatus,,Flavius,,Flavii,masculin,0250-01-01T00:00:00Z,,0337-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q637762,Publius Catius Sabinus,Publius,Catius,,Catii,masculin,0200-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q639688,Mérobaud,,Flavius,,Flavii,masculin,0400-01-01T00:00:00Z,,0388-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3138,,
http://www.wikidata.org/entity/Q640778,Pomponius Bassus,,Pomponius,,Pomponii,masculin,0300-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q1227338,http://www.wikidata.org/entity/Q241466
http://www.wikidata.org/entity/Q641216,Flavius Magnus,,Flavius,,Flavii,masculin,0390-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6555,0475-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q641216,Flavius Magnus,,Flavius,,Flavii,masculin,0405-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6555,0475-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q642711,Dagalaiphus,,,,,masculin,0400-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q649960,Claudius Mamertinus,t2275727341,Claudius,,Claudii,masculin,0301-01-01T00:00:00Z,,0301-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q653221,Galla,,,,,féminin,0350-01-01T00:00:00Z,,0301-01-01T00:00:00Z,,,
