item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q2739033,Hostus Hostilius,Hostus,Hostilius,,Hostilii,masculin,,,,,,
http://www.wikidata.org/entity/Q2745841,Égérius,Arruns,Tarquinius,,Tarquinii,masculin,-0600-01-01T00:00:00Z,t862377268,t862377281,t862377302,http://www.wikidata.org/entity/Q2864247,t862377273
http://www.wikidata.org/entity/Q2843754,Camille (Horaces),,Horatia,,Horatii,féminin,t309126459,,-0666-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2864244,Arruns (frère de Tarquin l'Ancien),Arruns,Tarquinius,,Tarquinii,masculin,-0600-01-01T00:00:00Z,t1136024783,-0600-01-01T00:00:00Z,t1136024808,http://www.wikidata.org/entity/Q13030457,t1136024796
http://www.wikidata.org/entity/Q2864247,Arruns,Arruns,Tarquinius,,Tarquinii,masculin,-0700-01-01T00:00:00Z,Tarquinia,t1136024821,t1136024805,http://www.wikidata.org/entity/Q458754,t1136024763
http://www.wikidata.org/entity/Q3267239,Titus Junius Brutus,Titus,Junius,Brutus,Junii,masculin,-0600-01-01T00:00:00Z,t2267850247,-0508-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q223440,http://www.wikidata.org/entity/Q55371769
http://www.wikidata.org/entity/Q3277002,magistrat de la Monarchie romaine,,,,,,,,,,,
http://www.wikidata.org/entity/Q3290273,Marcus Junius,Marcus,Junius,,Junii,masculin,-0600-01-01T00:00:00Z,t589707611,-0600-01-01T00:00:00Z,t589707610,http://www.wikidata.org/entity/Q3290274,http://www.wikidata.org/entity/Q3515798
http://www.wikidata.org/entity/Q3290274,Marcus Junius,Marcus,Junius,,Junii,masculin,-0600-01-01T00:00:00Z,t24097852,t24097820,t24097828,t24097846,t24097854
http://www.wikidata.org/entity/Q3410489,Publius Horatius,Publius,Horatius,,Horatii,masculin,-0700-01-01T00:00:00Z,t1410024775,-0700-01-01T00:00:00Z,t1410024739,t1410024749,t1410024764
http://www.wikidata.org/entity/Q3515798,Tarquinia,,Tarquinia,,Tarquinii,féminin,-0600-01-01T00:00:00Z,t25044702,t25044680,t25044704,http://www.wikidata.org/entity/Q13030457,t25044657
http://www.wikidata.org/entity/Q4281794,Marcus Marcius,Marcus,Marcius,,Marcii,masculin,,,,,t2265845321,t2265845317
http://www.wikidata.org/entity/Q7810336,Tite Tarquinius,Titus,Tarquinius,,Tarquinii,masculin,-0600-01-01T00:00:00Z,t2283722289,-0498-01-01T00:00:00Z,lac Régille,http://www.wikidata.org/entity/Q193047,http://www.wikidata.org/entity/Q446260
http://www.wikidata.org/entity/Q11934764,Mamercus,Mamercus,Pompilius,,Pompilii,masculin,-0800-01-01T00:00:00Z,Cures Sabini,t2248616422,t2248616424,http://www.wikidata.org/entity/Q200031,http://www.wikidata.org/entity/Q18759343
http://www.wikidata.org/entity/Q11939034,Numa Marcius,Numa,Marcius,,Marcii,masculin,,,,,,
http://www.wikidata.org/entity/Q12296044,Tarquinia the Elder,,Tarquinia,,Tarquinii,féminin,-0600-01-01T00:00:00Z,t1701525835,t1701525871,t1701525912,http://www.wikidata.org/entity/Q212671,http://www.wikidata.org/entity/Q464034
http://www.wikidata.org/entity/Q13030457,Gnaeus Tarquinius,Cnaeus,Tarquinius,,Tarquinii,masculin,-0700-01-01T00:00:00Z,t48462951,t48462908,t48462925,http://www.wikidata.org/entity/Q212671,http://www.wikidata.org/entity/Q464034
http://www.wikidata.org/entity/Q18588408,Calpus,t900653446,Pompilius,,Pompilii,masculin,-0800-01-01T00:00:00Z,Cures Sabini,t900653447,t900653450,http://www.wikidata.org/entity/Q200031,http://www.wikidata.org/entity/Q18759343
http://www.wikidata.org/entity/Q18759343,Tatia,,Tatia,,Tatii,féminin,-0800-01-01T00:00:00Z,Cures Sabini,t901015339,t901015336,http://www.wikidata.org/entity/Q960039,t901015370
http://www.wikidata.org/entity/Q21710836,Pompilia,,Pompilia,,Pompilii,féminin,-0800-01-01T00:00:00Z,Cures Sabini,t2231649693,t2231649696,http://www.wikidata.org/entity/Q200031,http://www.wikidata.org/entity/Q18759343
http://www.wikidata.org/entity/Q25171439,Volesus,Volesus,Valerius,,Valerii,masculin,,,-0800-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q55371769,Vitellia,,Vitellia,,Vitellii,féminin,-0600-01-01T00:00:00Z,t735189000,t735188994,t735188992,http://www.wikidata.org/entity/Q98659434,t735189002
http://www.wikidata.org/entity/Q55375123,roi de Rome,,,,,,,,,,,
http://www.wikidata.org/entity/Q55387288,Tarquinia,,Tarquinia,,Tarquinii,féminin,-0600-01-01T00:00:00Z,t1552203917,t1552203928,t1552203918,http://www.wikidata.org/entity/Q193047,http://www.wikidata.org/entity/Q446260
http://www.wikidata.org/entity/Q55399410,Tarquinia,,Tarquinia,,Tarquinii,féminin,-0600-01-01T00:00:00Z,t1009516507,t1009516508,t1009516510,http://www.wikidata.org/entity/Q98374052,t1009516525
http://www.wikidata.org/entity/Q55399448,Aquilius,t1821791350,Aquillius,,Aquillii,masculin,-0600-01-01T00:00:00Z,t1821791334,t1821791377,t1821791343,t1821791364,t1821791369
http://www.wikidata.org/entity/Q55399581,Lucius Aquilius,Lucius,Aquillius,,Aquillii,masculin,-0600-01-01T00:00:00Z,t177785733,-0508-01-01T00:00:00Z,t177785745,http://www.wikidata.org/entity/Q55399448,http://www.wikidata.org/entity/Q55399410
http://www.wikidata.org/entity/Q55399601,Marcus Aquilius,Marcus,Aquillius,,Aquillii,masculin,-0600-01-01T00:00:00Z,t1281533240,-0508-01-01T00:00:00Z,t1281533247,http://www.wikidata.org/entity/Q55399448,http://www.wikidata.org/entity/Q55399410
http://www.wikidata.org/entity/Q55399995,Marcus Vitellius,Marcus,Vitellius,,Vitellii,masculin,-0600-01-01T00:00:00Z,t735361042,-0508-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q98659434,t735361037
http://www.wikidata.org/entity/Q55440325,Titus Lucretius,Titus,Lucretius,,Lucretii,masculin,-0600-01-01T00:00:00Z,t177961548,t177961503,t177961509,t177961523,t177961581
http://www.wikidata.org/entity/Q55463614,Marcus Horatius,Marcus,Horatius,,Horatii,masculin,-0600-01-01T00:00:00Z,t177961507,t177961577,t177961520,t177961524,t177961575
