item,positionLabel
http://www.wikidata.org/entity/Q51380,édile
http://www.wikidata.org/entity/Q51380,gouverneur romain
http://www.wikidata.org/entity/Q51380,sénateur romain
http://www.wikidata.org/entity/Q51673,consul
http://www.wikidata.org/entity/Q51673,maître de cavalerie
http://www.wikidata.org/entity/Q51673,proconsul
http://www.wikidata.org/entity/Q51673,tribun de la plèbe
http://www.wikidata.org/entity/Q51673,sénateur romain
http://www.wikidata.org/entity/Q51673,triumvir rei publicae constituendae
http://www.wikidata.org/entity/Q52166,
http://www.wikidata.org/entity/Q54798,pape
http://www.wikidata.org/entity/Q59137,
http://www.wikidata.org/entity/Q59138,
http://www.wikidata.org/entity/Q59559,dictateur
http://www.wikidata.org/entity/Q59559,sénateur romain
http://www.wikidata.org/entity/Q60461,
http://www.wikidata.org/entity/Q63389,consul suffect
http://www.wikidata.org/entity/Q63447,consul
http://www.wikidata.org/entity/Q63447,sénateur romain
http://www.wikidata.org/entity/Q63533,impératrice consort
http://www.wikidata.org/entity/Q64612,consul
http://www.wikidata.org/entity/Q64612,censeur
http://www.wikidata.org/entity/Q64612,sénateur romain
http://www.wikidata.org/entity/Q68880,monarque
http://www.wikidata.org/entity/Q73354,préteur
http://www.wikidata.org/entity/Q73354,sénateur romain
http://www.wikidata.org/entity/Q74243,consul suffect
http://www.wikidata.org/entity/Q74243,gouverneur romain
http://www.wikidata.org/entity/Q74243,sénateur romain
http://www.wikidata.org/entity/Q75826,préteur
http://www.wikidata.org/entity/Q75826,propréteur
http://www.wikidata.org/entity/Q75826,sénateur romain
http://www.wikidata.org/entity/Q80513,
http://www.wikidata.org/entity/Q82176,consul
http://www.wikidata.org/entity/Q82176,sénateur romain
http://www.wikidata.org/entity/Q82778,procurateur
http://www.wikidata.org/entity/Q82778,préfet de la flotte
http://www.wikidata.org/entity/Q93734,consul
http://www.wikidata.org/entity/Q93734,préteur
http://www.wikidata.org/entity/Q93734,censeur
http://www.wikidata.org/entity/Q93734,tribun de la plèbe
http://www.wikidata.org/entity/Q93734,sénateur romain
http://www.wikidata.org/entity/Q94504,consul
http://www.wikidata.org/entity/Q94504,édile
http://www.wikidata.org/entity/Q94504,sénateur romain
http://www.wikidata.org/entity/Q102131,pape
http://www.wikidata.org/entity/Q103101,pape
http://www.wikidata.org/entity/Q103860,empereur romain
http://www.wikidata.org/entity/Q103860,dirigeant
http://www.wikidata.org/entity/Q104475,consul
http://www.wikidata.org/entity/Q104475,empereur romain
http://www.wikidata.org/entity/Q104475,sénateur romain
http://www.wikidata.org/entity/Q105452,consul
http://www.wikidata.org/entity/Q105452,maître de cavalerie
http://www.wikidata.org/entity/Q105452,sénateur romain
http://www.wikidata.org/entity/Q105452,triumvir rei publicae constituendae
http://www.wikidata.org/entity/Q106026,
http://www.wikidata.org/entity/Q109594,
http://www.wikidata.org/entity/Q109598,
http://www.wikidata.org/entity/Q110659,
http://www.wikidata.org/entity/Q113856,consul
