item,epouse
http://www.wikidata.org/entity/Q261441,t2255048141
http://www.wikidata.org/entity/Q267534,t2255187793
http://www.wikidata.org/entity/Q267630,t2255226445
http://www.wikidata.org/entity/Q272082,http://www.wikidata.org/entity/Q453035
http://www.wikidata.org/entity/Q273671,http://www.wikidata.org/entity/Q11926234
http://www.wikidata.org/entity/Q274545,t2248350781
http://www.wikidata.org/entity/Q276309,http://www.wikidata.org/entity/Q232380
http://www.wikidata.org/entity/Q280869,http://www.wikidata.org/entity/Q292219
http://www.wikidata.org/entity/Q281025,t2255220409
http://www.wikidata.org/entity/Q282684,t2255117640
http://www.wikidata.org/entity/Q283141,t2255301362
http://www.wikidata.org/entity/Q285148,http://www.wikidata.org/entity/Q241143
http://www.wikidata.org/entity/Q285517,http://www.wikidata.org/entity/Q229871
http://www.wikidata.org/entity/Q285517,http://www.wikidata.org/entity/Q544399
http://www.wikidata.org/entity/Q285755,t2255089142
http://www.wikidata.org/entity/Q289392,t2255142169
http://www.wikidata.org/entity/Q289392,t2255142171
http://www.wikidata.org/entity/Q294846,http://www.wikidata.org/entity/Q20108618
http://www.wikidata.org/entity/Q294862,t2255103844
http://www.wikidata.org/entity/Q295228,http://www.wikidata.org/entity/Q9338191
http://www.wikidata.org/entity/Q211396,http://www.wikidata.org/entity/Q1327859
http://www.wikidata.org/entity/Q212109,http://www.wikidata.org/entity/Q50126003
http://www.wikidata.org/entity/Q212671,http://www.wikidata.org/entity/Q464034
http://www.wikidata.org/entity/Q212671,http://www.wikidata.org/entity/Q16182420
http://www.wikidata.org/entity/Q212876,http://www.wikidata.org/entity/Q254471
http://www.wikidata.org/entity/Q214765,http://www.wikidata.org/entity/Q449587
http://www.wikidata.org/entity/Q214765,http://www.wikidata.org/entity/Q4111991
http://www.wikidata.org/entity/Q223440,http://www.wikidata.org/entity/Q55371769
http://www.wikidata.org/entity/Q241707,http://www.wikidata.org/entity/Q239314
http://www.wikidata.org/entity/Q242819,http://www.wikidata.org/entity/Q2090689
http://www.wikidata.org/entity/Q242819,http://www.wikidata.org/entity/Q16542257
http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/entity/Q234825
http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/entity/Q235423
http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/entity/Q235627
http://www.wikidata.org/entity/Q1405,http://www.wikidata.org/entity/Q233444
http://www.wikidata.org/entity/Q1405,http://www.wikidata.org/entity/Q237618
http://www.wikidata.org/entity/Q1405,http://www.wikidata.org/entity/Q469701
http://www.wikidata.org/entity/Q1407,http://www.wikidata.org/entity/Q2259
http://www.wikidata.org/entity/Q1407,http://www.wikidata.org/entity/Q232090
http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/entity/Q240928
http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/entity/Q241982
http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/entity/Q242199
http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/entity/Q256048
http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/entity/Q154732
http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/entity/Q229871
http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/entity/Q236259
http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/entity/Q238448
http://www.wikidata.org/entity/Q1414,http://www.wikidata.org/entity/Q3655890
http://www.wikidata.org/entity/Q1416,http://www.wikidata.org/entity/Q230716
http://www.wikidata.org/entity/Q1417,http://www.wikidata.org/entity/Q260039
http://www.wikidata.org/entity/Q1417,http://www.wikidata.org/entity/Q542643
http://www.wikidata.org/entity/Q1419,http://www.wikidata.org/entity/Q241102
http://www.wikidata.org/entity/Q1421,http://www.wikidata.org/entity/Q731059
http://www.wikidata.org/entity/Q1421,http://www.wikidata.org/entity/Q1528430
http://www.wikidata.org/entity/Q1425,http://www.wikidata.org/entity/Q239448
http://www.wikidata.org/entity/Q1427,http://www.wikidata.org/entity/Q232716
http://www.wikidata.org/entity/Q1429,http://www.wikidata.org/entity/Q234734
http://www.wikidata.org/entity/Q1430,http://www.wikidata.org/entity/Q236936
http://www.wikidata.org/entity/Q1433,http://www.wikidata.org/entity/Q242466
http://www.wikidata.org/entity/Q1434,http://www.wikidata.org/entity/Q233578
http://www.wikidata.org/entity/Q1436,http://www.wikidata.org/entity/Q2604067
http://www.wikidata.org/entity/Q1440,http://www.wikidata.org/entity/Q2479052
http://www.wikidata.org/entity/Q1442,http://www.wikidata.org/entity/Q229246
http://www.wikidata.org/entity/Q1442,http://www.wikidata.org/entity/Q50989199
http://www.wikidata.org/entity/Q1446,http://www.wikidata.org/entity/Q238151
http://www.wikidata.org/entity/Q1541,http://www.wikidata.org/entity/Q435936
http://www.wikidata.org/entity/Q1541,http://www.wikidata.org/entity/Q11943302
http://www.wikidata.org/entity/Q1752,http://www.wikidata.org/entity/Q2724125
http://www.wikidata.org/entity/Q1762,http://www.wikidata.org/entity/Q241466
http://www.wikidata.org/entity/Q1762,http://www.wikidata.org/entity/Q242457
http://www.wikidata.org/entity/Q1762,http://www.wikidata.org/entity/Q256015
http://www.wikidata.org/entity/Q1769,http://www.wikidata.org/entity/Q237861
http://www.wikidata.org/entity/Q1769,http://www.wikidata.org/entity/Q11950511
http://www.wikidata.org/entity/Q1777,http://www.wikidata.org/entity/Q3372698
http://www.wikidata.org/entity/Q1812,http://www.wikidata.org/entity/Q2293889
http://www.wikidata.org/entity/Q1817,http://www.wikidata.org/entity/Q241474
http://www.wikidata.org/entity/Q1830,http://www.wikidata.org/entity/Q236466
http://www.wikidata.org/entity/Q2054,http://www.wikidata.org/entity/Q459183
http://www.wikidata.org/entity/Q2161,http://www.wikidata.org/entity/Q3655670
http://www.wikidata.org/entity/Q2186,http://www.wikidata.org/entity/Q1402198
http://www.wikidata.org/entity/Q2253,http://www.wikidata.org/entity/Q380862
http://www.wikidata.org/entity/Q2307,http://www.wikidata.org/entity/Q3656094
http://www.wikidata.org/entity/Q7170,http://www.wikidata.org/entity/Q435936
http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q45522
http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063
http://www.wikidata.org/entity/Q8833,http://www.wikidata.org/entity/Q3518324
http://www.wikidata.org/entity/Q9200,t2255848079
http://www.wikidata.org/entity/Q17131,http://www.wikidata.org/entity/Q263459
http://www.wikidata.org/entity/Q33941,http://www.wikidata.org/entity/Q1001933
http://www.wikidata.org/entity/Q34074,http://www.wikidata.org/entity/Q1898418
http://www.wikidata.org/entity/Q43107,http://www.wikidata.org/entity/Q164210
http://www.wikidata.org/entity/Q44344,http://www.wikidata.org/entity/Q22348371
http://www.wikidata.org/entity/Q46418,http://www.wikidata.org/entity/Q63533
http://www.wikidata.org/entity/Q46418,http://www.wikidata.org/entity/Q273627
http://www.wikidata.org/entity/Q46418,http://www.wikidata.org/entity/Q4957545
http://www.wikidata.org/entity/Q46696,http://www.wikidata.org/entity/Q235603
http://www.wikidata.org/entity/Q46696,http://www.wikidata.org/entity/Q236999
http://www.wikidata.org/entity/Q46720,http://www.wikidata.org/entity/Q254471
http://www.wikidata.org/entity/Q46720,http://www.wikidata.org/entity/Q1233341
http://www.wikidata.org/entity/Q46750,http://www.wikidata.org/entity/Q1133331
