itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pereLabel,mereLabel
Hilaire de Poitiers,,,,,masculin,0315-01-01T00:00:00Z,Poitiers,0367-01-01T00:00:00Z,Poitiers,,
Alexandre d'Alexandrie,,,,,masculin,0250-01-01T00:00:00Z,Égypte antique,0326-04-18T00:00:00Z,Alexandrie,,
Alexandre d'Alexandrie,,,,,masculin,0250-01-01T00:00:00Z,Égypte antique,0328-01-01T00:00:00Z,Alexandrie,,
Sosipatra,,,,,féminin,0400-01-01T00:00:00Z,Éphèse,0400-01-01T00:00:00Z,,,
Flavia Domitilla,,Flavia,Domitilla,Petillii,féminin,0100-01-01T00:00:00Z,Rome,t2291736232,t2291736231,,Domitilla la Jeune
Aulu-Gelle,Aulus,Gellius,,Gellii,masculin,0123-01-01T00:00:00Z,Rome,0180-01-01T00:00:00Z,Rome,Aulus Gellius Celer,
Aulu-Gelle,Aulus,Gellius,,Gellii,masculin,0125-01-01T00:00:00Z,Rome,0180-01-01T00:00:00Z,Rome,Aulus Gellius Celer,
Aulu-Gelle,Aulus,Gellius,,Gellii,masculin,0130-01-01T00:00:00Z,Rome,0180-01-01T00:00:00Z,Rome,Aulus Gellius Celer,
Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Aulus Postumius Albinus,Sempronia
Decimus Junius Brutus Albinus,Decimus,Junius,Brutus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Aulus Postumius Albinus,Sempronia
Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Decimus Junius Brutus,Sempronia
Decimus Junius Brutus Albinus,Decimus,Junius,Brutus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Decimus Junius Brutus,Sempronia
Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Aulus Postumius Albinus,Postumia
Decimus Junius Brutus Albinus,Decimus,Junius,Brutus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Aulus Postumius Albinus,Postumia
Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Decimus Junius Brutus,Postumia
Decimus Junius Brutus Albinus,Decimus,Junius,Brutus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2290230323,Decimus Junius Brutus,Postumia
Marcus Furius Camillus,Marcus,Furius,,Furii,masculin,-0445-01-01T00:00:00Z,Rome antique,-0364-01-01T00:00:00Z,t2228299887,Lucius Furius Medullinus,t2228299890
Flavius Severianus,,Flavius,,Flavii,masculin,0300-01-01T00:00:00Z,,0313-01-01T00:00:00Z,,Sévère,
Prisca,,,,,féminin,0300-01-01T00:00:00Z,,0315-01-01T00:00:00Z,Thessalonique,,
Publius Manlius Vulso,Publius,Manlius,Vulso,Manlii,masculin,-0500-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2124742181,Marcus Manlius Vulso,t2124742180
Publius Manlius Vulso,Publius,Manlius,Vulso,Manlii,masculin,-0500-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2124742182,Marcus Manlius Vulso,t2124742180
Caius Cassius Longinus,Caius,Cassius,Longinus,Cassii,masculin,-0004-01-01T00:00:00Z,,,,,
Drusus Julius Caesar,Drusus,Julius,Caesar,Julii,masculin,0007-01-01T00:00:00Z,Rome,0033-01-01T00:00:00Z,Rome,Germanicus,Agrippine l'Aînée
Caius Genucius Clepsina,Caius,Genucius,,Genucii,masculin,-0350-01-01T00:00:00Z,Rome antique,-0350-01-01T00:00:00Z,t2243693654,Lucius Genucius Aventinensis,t2243693659
Caius Genucius Clepsina,Caius,Genucius,,Genucii,masculin,-0350-01-01T00:00:00Z,Rome antique,-0350-01-01T00:00:00Z,t2243693657,Lucius Genucius Aventinensis,t2243693659
Sénèque,Lucius,Annaeus,,Annaei,masculin,-0003-01-01T00:00:00Z,Cordoue,0065-04-10T00:00:00Z,Rome,Sénèque l'Ancien,Helvia
Martial,Marcus,Valerius,Martialis,Valerii,masculin,0040-03-01T00:00:00Z,Augusta Bilbilis,0104-01-01T00:00:00Z,Augusta Bilbilis,,
Hippolyte de Rome,,,,,masculin,0170-01-01T00:00:00Z,Rome,0235-01-01T00:00:00Z,Sardaigne,,
Libius Severus,,Livius,Severus,,masculin,0420-01-01T00:00:00Z,Lucania,0465-08-15T00:00:00Z,Rome,,
Caius Cassius Longinus,Caius,Cassius,,Cassii,masculin,-0086-01-01T00:00:00Z,Rome,-0041-01-01T00:00:00Z,Philippes,t2272015133,t2272015132
Syagrius,,Afranius,,Afranii,masculin,0430-01-01T00:00:00Z,,0487-01-01T00:00:00Z,Soissons,Ægidius,
Dèce,Caius,Messius,Trajanus,Messii,masculin,0201-01-01T00:00:00Z,Martinci,0251-07-01T00:00:00Z,Abritus,,
Dèce,Quintus,Messius,Trajanus,Messii,masculin,0201-01-01T00:00:00Z,Martinci,0251-07-01T00:00:00Z,Abritus,,
Tite-Live,Titus,Livius,,Livii,masculin,-0058-01-01T00:00:00Z,Padoue,0017-01-01T00:00:00Z,Padoue,,
Caius Cornelius Gallus,Caius,Cornelius,,Cornelii,masculin,-0068-01-01T00:00:00Z,Empire romain,-0025-01-01T00:00:00Z,,,
Properce,Sextus,,,,masculin,-0046-01-01T00:00:00Z,Assise,-0013-01-01T00:00:00Z,Rome,,
Mécène,Caius,Maecenas,,Maecenates,masculin,t2283113396,Arezzo,-0007-01-01T00:00:00Z,t2283113395,t2283113394,t2283113397
Paul de Tarse,,,,,masculin,0005-01-01T00:00:00Z,Tarse,0067-01-01T00:00:00Z,Rome,,
Suétone,Caius,,,,masculin,0069-01-01T00:00:00Z,t2275145556,0126-01-01T00:00:00Z,Empire romain,,
Suétone,Caius,,,,masculin,0070-01-01T00:00:00Z,t2275145556,0126-01-01T00:00:00Z,Empire romain,,
Suétone,Caius,,,,masculin,0069-01-01T00:00:00Z,t2275145556,0140-01-01T00:00:00Z,Empire romain,,
Suétone,Caius,,,,masculin,0070-01-01T00:00:00Z,t2275145556,0140-01-01T00:00:00Z,Empire romain,,
Hypatie,,,,,féminin,0360-01-01T00:00:00Z,Alexandrie,0415-03-01T00:00:00Z,Alexandrie,Théon d'Alexandrie,
Aèce d'Antioche,,,,,masculin,0300-01-01T00:00:00Z,Cœlé-Syrie,0367-01-01T00:00:00Z,Constantinople,,
Ponce Pilate,t2284668476,Pontius,Pilatus,Pontii,masculin,-0011-12-01T00:00:00Z,Abruzzes,t2284668478,,,
Laurent de Rome,,,,,masculin,0225-12-31T00:00:00Z,Huesca,0258-08-10T00:00:00Z,Rome,,
Flavius Victor,t2126257978,Flavius,Victor,Flavii,masculin,0350-01-01T00:00:00Z,,0383-01-01T00:00:00Z,,,
Junius Rusticus,Quintus,Junius,,Junii,masculin,0100-01-01T00:00:00Z,,0170-01-01T00:00:00Z,,,
Remmius Palæmon,Quintus,,,,masculin,0100-01-01T00:00:00Z,Vicence,0100-01-01T00:00:00Z,,,
Marcus Ummidius Quadratus,Marcus,Ummidius,Quadratus,Ummidii,masculin,0138-01-01T00:00:00Z,Rome,0182-01-01T00:00:00Z,Rome,Caius Annianus Verus,Annia Cornificia Faustina l'aînée
Arrien,Lucius,Flavius,,Flavii,masculin,0089-01-01T00:00:00Z,Nicomédie,0175-01-01T00:00:00Z,Athènes,,
Julien,,Claudius,,Claudii,masculin,0331-11-18T00:00:00Z,Constantinople,0363-06-27T00:00:00Z,Mésopotamie,Flavius Julius Constantius,Basilina
Jovien,,,,,masculin,0331-01-01T00:00:00Z,Singidunum,0364-02-17T00:00:00Z,Dadastana,Varronianus,
Claude Ptolémée,,Claudius,,Claudii,masculin,0100-01-01T00:00:00Z,Ptolémaïs,0170-01-01T00:00:00Z,Alexandrie,,
