item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere,epouse
http://www.wikidata.org/entity/Q263385,Ulpia Severina,,Ulpia,,Ulpii,féminin,0200-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4474948,,
http://www.wikidata.org/entity/Q270384,Cornelia Metella,,Cornelia,Metella,Cornelii,féminin,-0072-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2261726749,t2261726751,http://www.wikidata.org/entity/Q316825,http://www.wikidata.org/entity/Q10996733,
http://www.wikidata.org/entity/Q270384,Cornelia Metella,,Cornelia,Metella,Cornelii,féminin,-0072-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2261726749,t2261726754,http://www.wikidata.org/entity/Q316825,http://www.wikidata.org/entity/Q10996733,
http://www.wikidata.org/entity/Q273616,Mucia Tertia,,Mucia,,Mucii,féminin,-0094-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0030-01-01T00:00:00Z,t2255193362,http://www.wikidata.org/entity/Q503187,t2255193363,
http://www.wikidata.org/entity/Q351503,Gnaeus Domitius Ahenobarbus,Cnaeus,Domitius,,Domitii,masculin,-0001-12-09T00:00:00Z,http://www.wikidata.org/entity/Q220,0040-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1724661,http://www.wikidata.org/entity/Q351495,http://www.wikidata.org/entity/Q233704,
http://www.wikidata.org/entity/Q355778,Titus Annius Milo,Titus,Annius,,Annii,masculin,-0094-01-01T00:00:00Z,http://www.wikidata.org/entity/Q242793,-0047-01-01T00:00:00Z,http://www.wikidata.org/entity/Q5157069,t2266623493,t2266623491,
http://www.wikidata.org/entity/Q380857,Æmilia Scaura,,Aemilia,,Aemilii,féminin,-0099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0081-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q365148,http://www.wikidata.org/entity/Q6454823,
http://www.wikidata.org/entity/Q435946,Pompeia,,Pompeia,,Pompeii,féminin,-0101-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q336538,t572985451,
http://www.wikidata.org/entity/Q436302,Caecilia Metella,,Caecilia,Metella,Caecilii,féminin,-0069-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0043-01-01T00:00:00Z,t572985588,http://www.wikidata.org/entity/Q505341,http://www.wikidata.org/entity/Q1102155,
http://www.wikidata.org/entity/Q446730,Thermantia,,,,,féminin,0400-01-01T00:00:00Z,,0415-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q203636,http://www.wikidata.org/entity/Q257819,
http://www.wikidata.org/entity/Q458528,Junia Seconda,,,,,féminin,-0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0060-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q518928,http://www.wikidata.org/entity/Q232229,
http://www.wikidata.org/entity/Q518068,Antistia,,,,,féminin,-0099-01-01T00:00:00Z,,-0100-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q583860,http://www.wikidata.org/entity/Q11910936,
http://www.wikidata.org/entity/Q544988,Aurelia Orestilla,,Aurelia,Orestilla,Aurelii,féminin,t1934066337,http://www.wikidata.org/entity/Q1747689,-0100-01-01T00:00:00Z,t1934066318,t1934066357,t1934066362,
