item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q1223643,Publius Postumius Albinus Regillensis,Publius,Postumius,Albinus,Postumii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0413-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3641694,http://www.wikidata.org/entity/Q787709,t2259818244
http://www.wikidata.org/entity/Q1223643,Publius Postumius Albinus Regillensis,Publius,Postumius,Regillensis,Postumii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0413-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3641694,http://www.wikidata.org/entity/Q787709,t2259818244
http://www.wikidata.org/entity/Q1223660,Quintus Servilius Structus Priscus,Quintus,Servilius,Structus,Servilii,masculin,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,t2260780775,t2260780782,t2260780783
http://www.wikidata.org/entity/Q1223660,Quintus Servilius Structus Priscus,Quintus,Servilius,Priscus,Servilii,masculin,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,t2260780775,t2260780782,t2260780783
http://www.wikidata.org/entity/Q1224468,Manius Aemilius Mamercinus,Manius,Aemilius,Mamercinus,Aemilii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259817303,http://www.wikidata.org/entity/Q957079,t2259817304
http://www.wikidata.org/entity/Q1225143,Hostus Lucretius Tricipitinus,Hostus,Lucretius,Tricipitinus,Lucretii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259862537,t2259862547,http://www.wikidata.org/entity/Q673761,t2259862545
http://www.wikidata.org/entity/Q1225143,Hostus Lucretius Tricipitinus,Hostus,Lucretius,Tricipitinus,Lucretii,masculin,-0500-01-01T00:00:00Z,t2259862538,t2259862537,t2259862547,http://www.wikidata.org/entity/Q673761,t2259862545
http://www.wikidata.org/entity/Q1225268,Marcus Valerius Maximus Corvinus,Marcus,Valerius,,Valerii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0350-01-01T00:00:00Z,t2259874349,http://www.wikidata.org/entity/Q453874,t2259874356
http://www.wikidata.org/entity/Q1225279,Appius Claudius Sabinus,Appius,Claudius,Crassus,Claudii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259940975,t2259940972,http://www.wikidata.org/entity/Q1051213,t2259940986
http://www.wikidata.org/entity/Q1225290,Titus Romilius Rocus Vaticanus,Titus,Romilius,,Romilii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259988842,t2259988845
http://www.wikidata.org/entity/Q1225311,Spurius Nautius Rutilus,Spurius,Nautius,Rutilus,Nautii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259912427,t2259912426,t2259912433,t2259912432
http://www.wikidata.org/entity/Q1225327,Marcus Valerius Maximus Lactuca,Marcus,Valerius,Maximus,Valerii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0500-01-01T00:00:00Z,t2259806503,http://www.wikidata.org/entity/Q15034789,t2259806515
http://www.wikidata.org/entity/Q1225345,Marcus Postumius Albinus Regillensis,Marcus,Postumius,Albinus,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259807912,t2259807907,http://www.wikidata.org/entity/Q787709,t2259807919
http://www.wikidata.org/entity/Q1225345,Marcus Postumius Albinus Regillensis,Marcus,Postumius,Regillensis,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259807912,t2259807907,http://www.wikidata.org/entity/Q787709,t2259807919
http://www.wikidata.org/entity/Q1225441,Publius Valerius Publicola,Publius,Valerius,Publicola,Valerii,masculin,-0600-01-01T00:00:00Z,t2259934064,-0459-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34925,http://www.wikidata.org/entity/Q318726,t2259934062
http://www.wikidata.org/entity/Q1225670,Marcus Pœtelius Libo,Marcus,Poetelius,,Poetelii,masculin,-0349-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0250-01-01T00:00:00Z,t2259949406,t2259949411,t2259949415
http://www.wikidata.org/entity/Q1225680,Titus Menenius Agrippae Lanatus,Titus,Menenius,Lanatus,Menenii,masculin,-0550-01-01T00:00:00Z,t2259936207,-0475-01-01T00:00:00Z,t2259936204,http://www.wikidata.org/entity/Q396971,t2259936209
http://www.wikidata.org/entity/Q1225697,Marcus Fabius Dorsuo,Marcus,Fabius,,Fabii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259895782,t2259895781,t2259895783
http://www.wikidata.org/entity/Q1225700,Lucius Titinius Pansa Saccus,Lucius,Titinius,Pansa,Titinii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0450-01-01T00:00:00Z,t2259936203,t2259936213,t2259936214
http://www.wikidata.org/entity/Q1225700,Lucius Titinius Pansa Saccus,Lucius,Titinius,Saccus,Titinii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0450-01-01T00:00:00Z,t2259936203,t2259936213,t2259936214
http://www.wikidata.org/entity/Q1226275,Caeso Fabius Ambustus,Caeso,Fabius,Ambustus,Fabii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259962616,http://www.wikidata.org/entity/Q1229537,t2259962617
http://www.wikidata.org/entity/Q1226289,Caius Sempronius Atratinus,Caius,Sempronius,Atratinus,Sempronii,masculin,-0500-01-01T00:00:00Z,t2259801204,t2259801207,t2259801200,http://www.wikidata.org/entity/Q773079,t2259801208
http://www.wikidata.org/entity/Q1226466,Publius Cornelius M.f. Maluginensis,Publius,Cornelius,Maluginensis,Cornelii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2259940983,http://www.wikidata.org/entity/Q721605,t2259940990
http://www.wikidata.org/entity/Q1227224,Aulus Verginius Tricostus Caeliomontanus,Aulus,Verginius,Caeliomontanus,Verginii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,t2259831888,http://www.wikidata.org/entity/Q773119,t2259831893
http://www.wikidata.org/entity/Q1227224,Aulus Verginius Tricostus Caeliomontanus,Aulus,Verginius,Tricostus,Verginii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,t2259831888,http://www.wikidata.org/entity/Q773119,t2259831893
http://www.wikidata.org/entity/Q1227230,Proculus Geganius Macerinus,Proculus,Geganius,Macerinus,Geganii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0450-01-01T00:00:00Z,t2259839783,t2259839779,t2259839780
http://www.wikidata.org/entity/Q1227240,Publius Furius Medullinus Fusus,Publius,Furius,,Furii,masculin,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,t2259897017,t2259897015,t2259897019
http://www.wikidata.org/entity/Q1227246,Quintus Servilius Ahala,Quintus,Servilius,Ahala,Servilii,masculin,t2259875120,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259875123,t2259875115,t2259875124
http://www.wikidata.org/entity/Q1227261,Publius Cornelius Arvina,Publius,Cornelius,,Cornelii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0300-01-01T00:00:00Z,t2259825717,http://www.wikidata.org/entity/Q772650,t2259825721
http://www.wikidata.org/entity/Q1227265,Spurius Veturius Crassus Cicurinus,Spurius,Veturius,Cicurinus,Veturii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259934069,t2259934070,t2259934058,t2259934073
http://www.wikidata.org/entity/Q1227265,Spurius Veturius Crassus Cicurinus,Spurius,Veturius,Crassus,Veturii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259934069,t2259934070,t2259934058,t2259934073
http://www.wikidata.org/entity/Q1227354,Lucius Furius Camillus,Lucius,Furius,,Furii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259779663,t2259779664,t2259779655
http://www.wikidata.org/entity/Q1229409,Aulus Postumius Albinus Regillensis,Aulus,Postumius,Albinus,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259898835,t2259898838,t2259898839
http://www.wikidata.org/entity/Q1229409,Aulus Postumius Albinus Regillensis,Aulus,Postumius,Regillensis,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259898835,t2259898838,t2259898839
http://www.wikidata.org/entity/Q1229440,Spurius Postumius Albinus Regillensis,Spurius,Postumius,Albinus,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0379-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259782685,t2259782690
