item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q1120806,Caius Servilius Structus Axilla,Caius,Servilius,Structus,Servilii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2295902598,http://www.wikidata.org/entity/Q637596,t2295902596
http://www.wikidata.org/entity/Q1120806,Caius Servilius Structus Axilla,Caius,Servilius,Axilla,Servilii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2295902598,http://www.wikidata.org/entity/Q637596,t2295902596
http://www.wikidata.org/entity/Q1121669,Tyconius,,,,,masculin,0370-01-01T00:00:00Z,,0390-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1122084,Antiochus,,,,,masculin,,,0600-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1122794,Julius Laetus,t2294402086,Julius,Laetus,Julii,masculin,,,0198-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1124912,Marcus Duronius,Marcus,,,,masculin,,,,,,
http://www.wikidata.org/entity/Q1131117,Caecina Mavortius Basilius Decius,,Decius,,Decii,masculin,0493-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q921632,
http://www.wikidata.org/entity/Q1131137,Marcus Acilius Severus,t2111136808,Acilius,Severus,Acilii,masculin,0250-01-01T00:00:00Z,,0400-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1131436,Aurelianus,,,,,masculin,0350-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q1542110,
http://www.wikidata.org/entity/Q1131441,Gaius Vettius Cossinius Rufinus,Caius,Cossinius,,Cossinii,masculin,0201-01-01T00:00:00Z,,0400-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1131449,Pacatianus,Lucius,Papius,,Papii,masculin,0250-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q1131457,Gennadius Avienus,,Avienus,,Avieni,masculin,0450-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q1132171,Lucius Flavius Aper,Lucius,Flavius,,Flavii,masculin,0250-01-01T00:00:00Z,,0284-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1133707,Cornelius,t2125165196,Cornelius,t2125165198,Cornelii,masculin,,,,,,
http://www.wikidata.org/entity/Q1133715,Decius Marius Venantius Basilius,,Marius,,Marii,masculin,0401-01-01T00:00:00Z,,0600-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q921632,
http://www.wikidata.org/entity/Q1133728,Lucius Cornelius Bocchus,Lucius,Cornelius,,Cornelii,masculin,,,0100-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1133783,Cornelius Epicadus,t2119076039,Cornelius,,Cornelii,masculin,-0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0100-01-01T00:00:00Z,t2119076028,t2119076031,t2119076040
http://www.wikidata.org/entity/Q1048,Jules César,Caius,Julius,Caesar,Julii,masculin,-0099-07-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0043-03-13T00:00:00Z,http://www.wikidata.org/entity/Q944814,http://www.wikidata.org/entity/Q314710,http://www.wikidata.org/entity/Q232725
http://www.wikidata.org/entity/Q1398,Virgile,Publius,Vergilius,,Vergilii,masculin,-0069-10-13T00:00:00Z,http://www.wikidata.org/entity/Q15710617,-0018-09-19T00:00:00Z,http://www.wikidata.org/entity/Q13496,,http://www.wikidata.org/entity/Q60841634
http://www.wikidata.org/entity/Q1398,Virgile,Publius,Vergilius,,Vergilii,masculin,-0069-10-13T00:00:00Z,http://www.wikidata.org/entity/Q18490698,-0018-09-19T00:00:00Z,http://www.wikidata.org/entity/Q13496,,http://www.wikidata.org/entity/Q60841634
http://www.wikidata.org/entity/Q1405,Auguste,Caius,Julius,Caesar,Julii,masculin,-0062-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0014-08-17T00:00:00Z,http://www.wikidata.org/entity/Q72288,http://www.wikidata.org/entity/Q363084,http://www.wikidata.org/entity/Q231696
http://www.wikidata.org/entity/Q1405,Auguste,Caius,Octavius,Caesar,Julii,masculin,-0062-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0014-08-17T00:00:00Z,http://www.wikidata.org/entity/Q72288,http://www.wikidata.org/entity/Q363084,http://www.wikidata.org/entity/Q231696
